x,y,z
136.22,-72.24, 5.82
130.68,-56.96, 5.52
290.82,-75.25, 5.21
299.64,-55.25, 5.37
123.91, 16.84, 5.64
137.15,-72.58, 3.45
126.11,-15.52, 4.25
124.68,  5.97, 5.29
127.10,-27.10, 2.06
297.83,-61.71, 3.92
128.85,-43.00, 5.55
126.67,-20.65, 5.65
128.29,-37.22, 5.80
125.10,  1.42, 5.55
125.76,-07.61, 4.33
129.55,-46.96, 6.06
125.07,  2.23, 5.57
137.48,-71.25, 6.40
132.54,-60.07, 5.95
127.24,-24.98, 5.81
127.84,-31.26, 5.16
298.05,-59.26, 6.41
129.18,-41.59, 4.66
128.12,-32.58, 4.51
134.84,-64.65, 5.94
125.50,-01.06, 6.41
126.82,-17.37, 6.11
128.47,-32.58, 6.19
124.08, 17.09, 6.26
252.89,-84.13, 6.52
281.60,-78.37, 5.92
129.37,-38.01, 4.65
132.56,-54.88, 5.24
132.57,-54.87, 6.30
128.94,-34.08, 6.43
130.84,-46.39, 5.98
124.89,  8.97, 7.83
139.80,-70.04, 5.13
133.14,-55.41, 6.03
136.01,-63.25, 5.70
127.24,-14.58, 6.61
290.10,-71.00, 4.96
128.91,-29.47, 6.02
127.70,-17.73, 6.34
137.75,-64.64, 5.41
129.36,-30.80, 6.73
124.54, 14.79, 6.31
127.61,-15.21, 6.25
299.66,-48.10, 4.86
135.63,-58.61, 5.16
128.93,-25.17, 6.46
298.90,-50.53, 6.24
124.79, 13.48, 6.38
126.71,-04.43, 4.98
130.56,-35.19, 4.76
126.10,  1.97, 6.34
138.45,-62.52, 5.87
124.57, 15.96, 6.07
140.45,-65.12, 6.23
147.57,-72.71, 6.15
130.75,-33.68, 5.23
128.58,-17.00, 4.88
127.14,-04.47, 6.45
138.75,-60.18, 6.20
139.87,-62.29, 6.49
166.13,-79.24, 6.35
129.94,-24.72, 5.58
130.47,-28.16, 6.29
132.99,-41.78, 5.97
125.75,  8.30, 6.49
126.15,  5.47, 4.74
243.40,-82.02, 5.84
146.42,-69.38, 6.21
146.59,-69.54, 3.60
127.19,-02.35, 2.68
145.55,-68.33, 5.91
158.54,-76.18, 6.14
142.56,-64.44, 6.15
132.98,-38.69, 6.18
279.66,-74.10, 5.42
129.61,-18.96, 5.96
131.00,-27.75, 6.31
284.11,-71.36, 6.26
157.07,-75.16, 4.90
134.19,-42.94, 5.38
134.31,-42.85, 5.50
131.25,-27.92, 6.27
141.83,-61.98, 6.41
129.56,-17.00, 4.83
130.20,-21.26, 6.46
139.88,-58.16, 6.58
296.98,-52.37, 5.93
155.16,-73.67, 5.66
130.39,-22.01, 6.60
250.18,-80.59, 5.79
123.28, 26.46, 2.02
152.44,-71.66, 6.13
138.54,-53.79, 6.20
126.30,  7.65, 5.81
126.92,  3.53, 6.14
280.52,-72.17, 3.41
129.75,-15.35, 5.27
254.77,-79.59, 6.58
135.56,-43.57, 6.02
182.65,-79.72, 5.12
140.07,-55.43, 4.84
284.52,-68.99, 6.31
209.10,-81.25, 5.93
137.01,-46.43, 3.62
132.33,-27.33, 6.39
128.44,-04.09, 5.70
286.27,-66.75, 3.95
234.96,-80.63, 5.82
128.35,-03.19, 4.71
282.11,-69.89, 6.17
153.38,-69.39, 6.59
263.48,-76.89, 5.51
132.32,-24.85, 5.88
286.40,-66.06, 6.28
151.37,-67.53, 5.76
126.09, 11.71, 6.58
137.11,-43.21, 5.89
166.32,-74.78, 5.63
131.88,-21.02, 6.38
242.30,-79.43, 6.12
130.54,-13.48, 5.92
138.71,-46.85, 6.22
126.40, 10.49, 5.28
137.79,-44.15, 5.80
132.00,-20.66, 4.09
166.61,-74.36, 5.42
292.01,-58.05, 6.01
129.11,-04.33, 5.56
231.37,-79.80, 5.69
140.16,-49.20, 5.57
130.81,-13.53, 3.57
131.53,-16.68, 6.36
156.70,-69.19, 6.24
300.26,-38.41, 6.11
291.74,-57.86, 6.18
131.89,-17.65, 4.98
130.16,-08.32, 6.39
259.18,-76.31, 5.94
290.84,-58.79, 0.46
187.04,-77.72, 5.58
204.39,-79.16, 6.70
139.37,-44.92, 5.97
132.35,-18.67, 5.61
132.92,-21.34, 4.94
127.68,  5.64, 5.59
287.70,-62.27, 6.84
127.21,  8.18, 5.18
129.02,-01.23, 6.71
129.52,-03.59, 6.37
132.70,-19.30, 4.95
136.80,-35.78, 6.17
135.69,-31.58, 5.99
289.60,-59.66, 5.87
289.60,-59.66, 5.76
129.06,-00.84, 6.34
145.12,-55.22, 4.44
134.46,-26.49, 5.64
129.27,-01.68, 5.78
162.14,-70.26, 5.75
138.88,-41.01, 5.24
262.44,-74.80, 6.17
132.40,-16.59, 6.34
131.32,-11.33, 4.07
241.27,-77.84, 5.25
258.27,-75.56, 5.72
130.00,-04.61, 6.21
152.75,-63.55, 4.99
283.51,-65.15, 6.64
130.16,-05.03, 6.25
135.65,-29.38, 6.34
132.43,-15.75, 6.35
292.17,-55.27, 5.71
286.90,-61.77, 5.52
154.47,-64.37, 6.19
139.67,-41.04, 6.27
173.19,-73.43, 3.50
144.61,-51.43, 4.26
129.08,  1.66, 5.63
301.23,-34.00, 5.87
156.61,-64.97, 5.34
206.28,-77.66, 5.31
141.20,-43.49, 6.55
299.99,-37.69, 6.33
217.10,-77.87, 6.39
133.00,-15.54, 6.32
282.92,-64.14, 5.49
285.68,-61.74, 5.04
135.20,-23.55, 5.94
141.89,-43.82, 5.84
136.65,-28.66, 5.79
268.52,-71.43, 6.18
301.70,-32.25, 5.69
132.86,-13.86, 5.82
149.17,-56.25, 5.91
256.59,-74.45, 6.32
132.18,-09.87, 5.90
140.39,-38.60, 5.86
165.48,-68.61, 4.67
233.70,-76.77, 6.34
131.57,-06.70, 5.52
145.58,-49.20, 5.94
259.30,-73.37, 6.37
132.64,-10.93, 5.79
277.77,-66.33, 6.14
132.58,-10.24, 6.26
165.88,-68.05, 3.73
131.72,-06.21, 6.45
280.70,-64.28, 5.94
129.84,  1.65, 3.38
135.40,-20.64, 5.40
138.64,-31.40, 3.41
142.55,-41.20, 4.83
142.55,-41.20, 4.75
180.42,-72.52, 5.80
128.77,  6.55, 4.99
151.64,-56.18, 4.62
299.96,-36.63, 6.06
135.72,-20.59, 6.24
136.75,-24.03, 6.26
142.24,-39.68, 2.64
258.35,-72.71, 6.10
274.35,-67.22, 4.41
136.91,-23.84, 5.89
136.96,-23.85, 5.67
267.17,-69.99, 5.11
141.48,-36.96, 5.74
153.67,-57.13, 6.01
130.80,-00.14, 6.02
136.03,-19.48, 6.78
144.34,-42.30, 5.10
140.40,-32.81, 5.82
199.22,-74.52, 4.85
280.88,-62.67, 3.70
130.16,  2.71, 5.26
134.06,-12.21, 5.69
142.04,-36.80, 4.79
293.93,-48.35, 4.69
289.48,-54.55, 6.06
126.76, 15.58, 6.04
280.76,-62.45, 6.10
274.84,-66.00, 4.83
128.69,  8.83, 4.54
239.29,-74.36, 6.35
143.55,-39.07, 5.87
147.82,-47.26, 6.09
127.95, 11.68, 6.23
128.38, 10.31, 3.98
127.06, 15.00, 5.38
154.33,-55.53, 5.88
194.60,-73.19, 5.41
292.20,-50.30, 6.37
195.47,-73.25, 4.00
130.42,  3.07, 6.00
167.40,-65.25, 5.51
264.25,-69.60, 5.57
130.57,  2.59, 5.58
133.19,-06.97, 5.04
289.45,-53.76, 2.86
127.44, 13.90, 5.22
298.84,-38.26, 6.16
227.66,-74.42, 5.35
155.35,-55.60, 5.23
155.35,-55.60, 4.33
125.99, 18.89, 6.05
130.54,  3.32, 6.52
139.71,-27.25, 5.50
292.34,-49.64, 6.10
148.19,-45.88, 5.94
268.87,-67.48, 5.14
136.96,-18.56, 2.26
136.97,-18.56, 4.84
142.61,-34.16, 5.63
226.33,-74.19, 6.42
158.18,-57.75, 5.43
181.14,-69.60, 5.86
146.03,-41.35, 6.21
158.88,-58.07, 5.93
162.91,-61.23, 5.62
224.89,-73.78, 4.69
144.78,-37.02, 5.03
152.67,-50.26, 6.31
143.52,-34.14, 6.15
159.58,-57.40, 6.28
144.57,-36.20, 2.00
132.92,-02.94, 5.67
137.14,-16.27, 6.42
139.31,-22.55, 4.82
134.48,-07.25, 6.31
140.55,-25.20, 3.00
144.08,-33.71, 4.98
148.23,-41.79, 6.43
189.29,-69.87, 6.10
128.58, 12.06, 6.29
133.51,-03.57, 6.36
139.38,-21.28, 5.63
139.38,-21.28, 6.10
208.31,-72.20, 6.48
147.40,-39.58, 5.70
264.22,-67.31, 5.85
144.53,-33.57, 6.02
142.27,-28.32, 6.23
154.20,-49.39, 5.63
264.54,-66.99, 6.32
275.99,-61.97, 6.12
174.54,-64.57, 6.01
163.52,-58.23, 5.93
131.08,  4.98, 6.07
133.50,-02.61, 6.44
142.98,-29.40, 4.94
138.04,-16.23, 4.83
145.69,-35.09, 5.96
135.85,-09.73, 5.31
147.14,-37.81, 5.27
137.10,-13.10, 6.06
150.40,-43.20, 5.71
154.55,-48.95, 4.37
164.60,-58.52, 5.54
199.11,-70.43, 5.86
229.19,-71.84, 5.28
137.30,-12.69, 6.33
134.38,-03.91, 6.48
142.55,-26.27, 5.28
145.74,-33.33, 5.79
146.07,-34.01, 5.58
175.21,-63.45, 6.55
257.70,-67.91, 5.91
142.43,-25.39, 4.87
134.25,-03.06, 5.75
134.39,-03.42, 5.98
138.78,-15.90, 6.7 
142.65,-25.71, 4.01
147.05,-35.06, 6.55
171.27,-60.99, 5.51
291.57,-47.42, 5.55
132.36,  3.10, 6.60
149.27,-38.50, 5.62
137.99,-12.91, 5.30
138.29,-13.77, 6.21
162.20,-54.38, 5.58
137.46,-11.42, 6.37
275.35,-60.82, 3.56
145.22,-30.41, 5.03
147.80,-35.44, 6.46
140.79,-19.96, 6.63
291.35,-47.45, 5.69
138.24,-12.89, 6.11
144.79,-28.89, 6.47
167.75,-57.98, 3.04
137.29,-10.21, 5.59
214.47,-70.41, 6.34
169.55,-58.98, 6.50
135.51,-04.79, 5.17
257.92,-66.77, 6.37
140.80,-18.28, 5.82
280.10,-57.09, 5.81
164.95,-54.92, 5.28
135.87,-05.17, 6.28
166.40,-55.90, 5.42
179.78,-63.15, 5.46
193.30,-67.06, 5.87
137.86,-10.15, 5.19
208.85,-69.21, 5.20
135.62,-03.93, 6.25
195.13,-67.20, 6.22
260.03,-65.60, 6.31
137.95,-09.83, 4.71
247.15,-68.09, 6.53
273.28,-60.44, 5.92
157.03,-45.99, 5.47
214.69,-69.20, 6.44
169.53,-56.93, 6.33
291.25,-46.37, 4.09
254.50,-66.45, 6.18
132.12,  6.29, 4.52
183.75,-63.35, 4.89
138.18,-09.42, 6.12
189.53,-65.08, 5.83
147.91,-31.18, 6.18
145.72,-26.79, 5.54
200.01,-67.12, 5.88
283.79,-53.20, 5.35
294.47,-41.95, 5.01
136.55,-04.72, 6.51
146.86,-28.67, 5.29
159.69,-47.39, 4.28
165.42,-52.76, 6.45
146.89,-28.37, 5.89
267.12,-62.24, 4.25
289.17,-48.04, 6.41
150.24,-34.16, 6.19
236.68,-68.20, 5.14
159.26,-46.27, 6.07
145.40,-24.69, 6.25
229.36,-68.46, 6.11
149.62,-32.45, 5.92
152.63,-37.23, 6.15
207.10,-67.27, 6.77
154.01,-39.09, 6.23
168.08,-53.68, 6.00
213.52,-67.78, 6.51
287.00,-49.73, 6.37
206.86,-67.09, 6.10
144.74,-22.43, 5.15
166.25,-51.98, 5.25
145.62,-23.82, 5.83
169.94,-54.44, 5.35
191.12,-63.78, 4.75
156.28,-41.18, 6.04
242.77,-66.74, 6.30
130.71, 11.58, 5.16
238.27,-67.00, 5.90
201.48,-65.57, 6.21
143.84,-18.95, 6.36
133.55,  5.09, 5.78
144.92,-21.07, 5.71
221.70,-67.34, 4.90
146.14,-23.44, 5.35
162.60,-47.26, 6.18
179.49,-58.87, 5.75
163.39,-47.62, 5.82
164.48,-48.67, 4.86
270.92,-59.19, 6.24
144.53,-19.67, 5.90
147.80,-26.13, 6.10
146.59,-23.71, 5.3 
179.86,-58.61, 5.53
144.09,-18.59, 6.54
147.26,-24.94, 6.25
284.65,-50.76, 6.77
159.13,-42.91, 5.68
151.47,-32.31, 7.09
151.49,-32.31, 6.50
162.83,-46.83, 5.81
226.39,-66.88, 5.75
145.24,-20.47, 6.18
145.10,-20.13, 6.30
163.28,-46.66, 6.39
174.49,-55.25, 5.65
237.68,-66.24, 5.79
153.46,-34.47, 5.43
127.33, 19.59, 5.78
167.32,-49.96, 6.21
297.19,-36.88, 5.28
226.75,-66.41, 5.83
272.31,-57.82, 5.31
170.76,-52.21, 4.07
245.54,-65.10, 6.49
187.19,-60.41, 4.84
151.02,-29.79, 5.30
165.32,-47.60, 6.25
183.54,-58.84, 5.78
138.51,-04.35, 5.77
227.82,-66.03, 6.52
139.16,-05.79, 5.84
144.84,-17.91, 4.91
255.67,-62.98, 4.75
172.42,-52.68, 5.71
133.34,  7.27, 5.95
141.40,-10.56, 6.48
155.53,-35.74, 5.69
249.30,-64.07, 4.11
175.53,-54.40, 6.05
192.38,-61.45, 5.98
162.07,-43.53, 6.30
285.44,-49.01, 6.55
141.16,-09.61, 4.12
143.31,-14.07, 5.43
151.29,-28.93, 4.66
274.43,-56.11, 5.21
152.53,-30.69, 6.35
168.92,-49.38, 3.47
245.90,-64.29, 6.01
288.96,-45.82, 4.11
261.96,-60.83, 6.10
157.47,-37.42, 6.46
159.22,-39.46, 5.77
268.82,-58.33, 5.41
191.81,-60.57, 4.25
161.43,-41.79, 5.18
163.25,-43.70, 4.27
250.30,-63.35, 6.36
132.89,  9.07, 6.18
168.09,-47.92, 6.03
232.25,-65.00, 6.22
200.83,-62.53, 4.47
147.73,-21.26, 6.25
147.96,-21.64, 6.30
271.10,-57.02, 6.15
260.97,-60.49, 6.85
287.19,-46.84, 6.26
151.42,-27.10, 4.51
138.47,-02.18, 6.25
207.44,-63.24, 6.49
209.30,-63.39, 6.47
158.18,-36.45, 5.82
133.47,  8.52, 5.80
153.91,-30.53, 5.86
147.54,-19.84, 6.45
190.42,-59.04, 6.90
284.11,-49.05, 5.74
139.14,-03.18, 3.76
238.99,-63.93, 6.51
158.93,-37.04, 5.22
287.76,-46.00, 4.84
152.98,-28.61, 3.63
138.20,-00.94, 6.45
147.25,-18.86, 4.23
231.79,-64.02, 4.46
143.38,-11.20, 5.88
149.07,-21.64, 4.53
214.12,-63.29, 6.14
221.64,-63.79, 5.39
140.73,-05.63, 6.36
161.17,-38.72, 5.49
239.41,-63.34, 5.92
142.83,-09.54, 6.26
206.80,-62.09, 4.75
239.01,-63.28, 5.47
282.75,-49.46, 5.26
248.01,-62.21, 6.36
141.02,-05.74, 3.95
147.81,-18.55, 5.33
160.59,-37.33, 6.31
192.06,-58.26, 6.04
228.14,-63.47, 6.40
187.02,-56.35, 6.32
137.21,  2.15, 5.59
135.96,  4.67, 6.24
209.96,-61.94, 5.95
244.62,-62.12, 5.92
142.08,-06.89, 6.22
143.97,-10.53, 6.02
282.43,-49.13, 6.03
159.93,-35.45, 5.91
265.46,-57.38, 4.0 
160.29,-35.62, 5.63
167.75,-43.37, 5.97
266.92,-56.80, 6.21
293.35,-39.77, 4.75
151.88,-23.77, 5.11
187.15,-55.31, 3.89
180.36,-52.04, 5.17
148.45,-17.90, 6.04
171.55,-46.17, 6.11
158.88,-33.22, 5.80
148.04,-16.92, 4.70
283.75,-47.86, 6.56
129.08, 18.19, 5.49
150.45,-20.78, 4.93
213.46,-61.47, 5.45
226.08,-62.31, 6.29
144.44,-10.22, 5.47
147.50,-15.64, 5.89
158.69,-32.51, 4.63
158.69,-32.51, 4.63
213.02,-61.25, 5.84
142.11,-05.63, 5.28
142.11,-05.63, 6.74
179.79,-51.03, 5.23
243.71,-61.42, 6.41
149.09,-18.11, 6.11
189.01,-55.34, 6.14
168.21,-42.41, 4.70
247.86,-60.74, 3.24
247.85,-60.73, 4.35
179.67,-50.64, 5.56
224.10,-61.85, 6.14
216.57,-61.27, 5.71
166.80,-40.74, 5.95
231.73,-61.79, 6.31
180.47,-50.70, 6.11
156.02,-27.90, 5.90
128.14, 20.05, 5.95
186.62,-53.64, 5.75
172.01,-44.75, 6.25
282.85,-47.79, 4.99
173.08,-45.39, 5.61
173.32,-45.59, 2.53
190.03,-54.80, 5.83
185.31,-52.74, 6.19
222.48,-61.23, 5.89
142.07,-04.34, 2.93
155.26,-26.19, 6.36
187.04,-53.34, 5.32
140.59,-01.50, 4.76
213.54,-60.29, 4.09
140.92,-02.04, 6.11
149.60,-17.01, 3.39
137.14,  5.00, 5.89
148.70,-15.49, 6.05
163.84,-36.22, 6.49
187.30,-52.98, 5.26
176.17,-46.77, 6.05
157.53,-28.47, 6.8 
157.53,-28.47, 7.0 
259.36,-57.50, 5.82
143.14,-05.21, 6.31
166.31,-38.06, 5.62
132.11, 14.08, 4.87
145.59,-09.47, 6.41
277.43,-50.34, 5.11
185.87,-51.62, 5.27
148.98,-14.90, 2.12
144.58,-07.39, 4.05
162.98,-34.21, 6.11
289.93,-41.76, 5.53
162.53,-33.35, 6.27
147.12,-11.43, 3.80
170.83,-41.30, 6.28
222.28,-59.84, 6.19
156.01,-24.78, 5.72
156.90,-25.75, 6.42
157.54,-26.48, 6.02
150.23,-15.73, 4.63
168.40,-38.41, 5.98
146.06,-08.71, 6.33
148.87,-13.30, 6.15
162.60,-32.14, 4.35
167.61,-37.40, 6.12
214.63,-58.50, 6.38
157.68,-25.95, 5.79
184.19,-49.29, 6.05
145.96,-08.25, 5.90
201.29,-55.78, 6.26
173.40,-41.99, 5.56
287.07,-43.42, 6.15
261.22,-55.59, 6.12
130.66, 17.16, 5.45
181.50,-47.34, 5.06
224.75,-59.04, 3.87
141.57,-00.41, 5.79
126.50, 23.20, 5.61
149.24,-12.92, 6.07
137.24,  6.93, 6.36
253.82,-56.96, 5.93
144.89,-05.66, 5.03
238.21,-58.76, 6.27
156.23,-22.85, 5.52
162.38,-30.62, 4.89
147.87,-10.41, 6.16
226.36,-58.76, 6.16
154.91,-20.90, 6.31
153.87,-19.35, 6.25
273.30,-50.90, 5.74
155.47,-21.36, 6.06
150.73,-14.39, 6.45
219.41,-58.00, 6.25
295.34,-36.05, 5.57
148.85,-11.36, 5.47
187.86,-49.63, 6.17
191.58,-51.31, 4.80
137.46,  7.06, 4.84
151.51,-15.34, 5.96
145.60,-06.06, 5.15
192.19,-51.33, 6.14
145.74,-06.12, 5.03
228.37,-58.26, 6.65
154.63,-19.43, 4.82
182.52,-46.10, 5.38
224.61,-57.71, 5.91
213.26,-56.46, 4.88
159.34,-25.11, 5.90
178.22,-43.08, 4.83
206.62,-55.15, 5.71
258.81,-54.94, 5.85
158.14,-23.46, 4.47
